assembly	metric	canonical	reproduced	equal
original	contigs	1	1	True
original	total_bp	4217110	4217110	True
original	N50_bp	4217110	4217110	True
original	longest_contig_bp	4217110	4217110	True
original	primary_mapped_pct	99.52	99.52	True
original	properly_paired_pct	99.17	99.17	True
original	mean_depth	39.254981	39.254981	True
original	breadth_1x_pct	99.922791	99.922791	True
original	merqury_QV	51.4374	51.4374	True
original	merqury_error_rate	7.18218e-06	7.18218e-06	True
original	merqury_completeness_pct	99.8997	99.8997	True
polished	contigs	1	1	True
polished	total_bp	4217111	4217111	True
polished	N50_bp	4217111	4217111	True
polished	longest_contig_bp	4217111	4217111	True
polished	primary_mapped_pct	99.52	99.52	True
polished	properly_paired_pct	99.17	99.17	True
polished	mean_depth	39.254982	39.254982	True
polished	breadth_1x_pct	99.922791	99.922791	True
polished	merqury_QV	51.4374	51.4374	True
polished	merqury_error_rate	7.18218e-06	7.18218e-06	True
polished	merqury_completeness_pct	99.9001	99.9001	True
